tech_id,chain,category,era,localized_name,description,prerequisite,direct_modifiers,unlocks,implementation_note,unlocks_named
tech_agriculture_11,tech_agriculture,production,11,Controlled-Environment Agriculture,"Farms retreat from the weather behind controlled atmospheres, sensor-guided fertigation, and sealed growing halls. Agriculture becomes an industrial environment whose temperature, water, light, and nutrients can be scheduled with the same precision as a factory line.",tech_agriculture_10,,PM:pm_modern_grain_goods_agriculture_11 | PM:pm_modern_fabric_goods_agriculture_11 | PM:pm_modern_fish_goods_agriculture_11 | PM:pm_modern_meat_goods_agriculture_11 | PM:pm_modern_fruit_goods_agriculture_11 | PM:pm_modern_tea_goods_agriculture_11 | PM:pm_modern_coffee_goods_agriculture_11 | PM:pm_modern_tobacco_goods_agriculture_11 | PM:pm_modern_wine_goods_agriculture_11 | PM:pm_modern_opium_goods_agriculture_11 | PM:pm_modern_rubber_goods_agriculture_11,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_11` — Controlled-Environment Grain Production<br>PM `pm_modern_fabric_goods_agriculture_11` — Controlled-Environment Fiber Production<br>PM `pm_modern_fish_goods_agriculture_11` — Controlled-Environment Fish Production<br>PM `pm_modern_meat_goods_agriculture_11` — Controlled-Environment Meat Production<br>PM `pm_modern_fruit_goods_agriculture_11` — Controlled-Environment Fruit Production<br>PM `pm_modern_tea_goods_agriculture_11` — Controlled-Environment Tea Production<br>PM `pm_modern_coffee_goods_agriculture_11` — Controlled-Environment Coffee Production<br>PM `pm_modern_tobacco_goods_agriculture_11` — Controlled-Environment Tobacco Production<br>PM `pm_modern_wine_goods_agriculture_11` — Controlled-Environment Wine Production<br>PM `pm_modern_opium_goods_agriculture_11` — Controlled-Environment Opium Production<br>PM `pm_modern_rubber_goods_agriculture_11` — Controlled-Environment Natural Rubber Production
tech_agriculture_12,tech_agriculture,production,12,Synthetic Soil Ecologies,Engineered substrates and managed soil microbiomes replace exhausted topsoil as the foundation of high-yield farming. Crops are fed by designed mineral cycles whose chemistry can be rebuilt instead of waiting for landscapes to recover.,tech_agriculture_11,,PM:pm_modern_grain_goods_agriculture_12 | PM:pm_modern_fabric_goods_agriculture_12 | PM:pm_modern_fish_goods_agriculture_12 | PM:pm_modern_meat_goods_agriculture_12 | PM:pm_modern_fruit_goods_agriculture_12 | PM:pm_modern_tea_goods_agriculture_12 | PM:pm_modern_coffee_goods_agriculture_12 | PM:pm_modern_tobacco_goods_agriculture_12 | PM:pm_modern_wine_goods_agriculture_12 | PM:pm_modern_opium_goods_agriculture_12 | PM:pm_modern_rubber_goods_agriculture_12,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_12` — Synthetic-Soil Grain Cultivation<br>PM `pm_modern_fabric_goods_agriculture_12` — Synthetic-Soil Fiber Cultivation<br>PM `pm_modern_fish_goods_agriculture_12` — Synthetic-Soil Fish Cultivation<br>PM `pm_modern_meat_goods_agriculture_12` — Synthetic-Soil Meat Cultivation<br>PM `pm_modern_fruit_goods_agriculture_12` — Synthetic-Soil Fruit Cultivation<br>PM `pm_modern_tea_goods_agriculture_12` — Synthetic-Soil Tea Cultivation<br>PM `pm_modern_coffee_goods_agriculture_12` — Synthetic-Soil Coffee Cultivation<br>PM `pm_modern_tobacco_goods_agriculture_12` — Synthetic-Soil Tobacco Cultivation<br>PM `pm_modern_wine_goods_agriculture_12` — Synthetic-Soil Wine Cultivation<br>PM `pm_modern_opium_goods_agriculture_12` — Synthetic-Soil Opium Cultivation<br>PM `pm_modern_rubber_goods_agriculture_12` — Synthetic-Soil Natural Rubber Cultivation
tech_agriculture_13,tech_agriculture,production,13,Autonomous Biofarming,"Autonomous field machines, robotic husbandry, and machine vision take over the continuous work of cultivation. Human labor shifts from tending individual plants to supervising agricultural systems that can sow, diagnose, harvest, and replant themselves.",tech_agriculture_12,,PM:pm_modern_grain_goods_agriculture_13 | PM:pm_modern_fabric_goods_agriculture_13 | PM:pm_modern_fish_goods_agriculture_13 | PM:pm_modern_meat_goods_agriculture_13 | PM:pm_modern_fruit_goods_agriculture_13 | PM:pm_modern_tea_goods_agriculture_13 | PM:pm_modern_coffee_goods_agriculture_13 | PM:pm_modern_tobacco_goods_agriculture_13 | PM:pm_modern_wine_goods_agriculture_13 | PM:pm_modern_opium_goods_agriculture_13 | PM:pm_modern_rubber_goods_agriculture_13,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_13` — Autonomous Grain Production<br>PM `pm_modern_fabric_goods_agriculture_13` — Autonomous Fiber Production<br>PM `pm_modern_fish_goods_agriculture_13` — Autonomous Fish Production<br>PM `pm_modern_meat_goods_agriculture_13` — Autonomous Meat Production<br>PM `pm_modern_fruit_goods_agriculture_13` — Autonomous Fruit Production<br>PM `pm_modern_tea_goods_agriculture_13` — Autonomous Tea Production<br>PM `pm_modern_coffee_goods_agriculture_13` — Autonomous Coffee Production<br>PM `pm_modern_tobacco_goods_agriculture_13` — Autonomous Tobacco Production<br>PM `pm_modern_wine_goods_agriculture_13` — Autonomous Wine Production<br>PM `pm_modern_opium_goods_agriculture_13` — Autonomous Opium Production<br>PM `pm_modern_rubber_goods_agriculture_13` — Autonomous Natural Rubber Production
tech_agriculture_14,tech_agriculture,production,14,Precision Microbiome Cultivation,"Root-zone bacteria and fungi are deliberately selected, edited, and introduced to control nutrient uptake, disease resistance, and flavor. The living ecosystem beneath a crop becomes another programmable layer of production.",tech_agriculture_13,,PM:pm_modern_grain_goods_agriculture_14 | PM:pm_modern_fabric_goods_agriculture_14 | PM:pm_modern_fish_goods_agriculture_14 | PM:pm_modern_meat_goods_agriculture_14 | PM:pm_modern_fruit_goods_agriculture_14 | PM:pm_modern_tea_goods_agriculture_14 | PM:pm_modern_coffee_goods_agriculture_14 | PM:pm_modern_tobacco_goods_agriculture_14 | PM:pm_modern_wine_goods_agriculture_14 | PM:pm_modern_opium_goods_agriculture_14 | PM:pm_modern_rubber_goods_agriculture_14,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_14` — Microbiome-Optimized Grain Cultivation<br>PM `pm_modern_fabric_goods_agriculture_14` — Microbiome-Optimized Fiber Cultivation<br>PM `pm_modern_fish_goods_agriculture_14` — Microbiome-Optimized Fish Cultivation<br>PM `pm_modern_meat_goods_agriculture_14` — Microbiome-Optimized Meat Cultivation<br>PM `pm_modern_fruit_goods_agriculture_14` — Microbiome-Optimized Fruit Cultivation<br>PM `pm_modern_tea_goods_agriculture_14` — Microbiome-Optimized Tea Cultivation<br>PM `pm_modern_coffee_goods_agriculture_14` — Microbiome-Optimized Coffee Cultivation<br>PM `pm_modern_tobacco_goods_agriculture_14` — Microbiome-Optimized Tobacco Cultivation<br>PM `pm_modern_wine_goods_agriculture_14` — Microbiome-Optimized Wine Cultivation<br>PM `pm_modern_opium_goods_agriculture_14` — Microbiome-Optimized Opium Cultivation<br>PM `pm_modern_rubber_goods_agriculture_14` — Microbiome-Optimized Natural Rubber Cultivation
tech_agriculture_15,tech_agriculture,production,15,Closed-Loop Agroindustry,"Water, nutrients, carbon, and organic waste circulate through enormous closed-loop agricultural complexes. Food production ceases to be merely rural land use and becomes a tightly integrated bioindustrial metabolism.",tech_agriculture_14,,PM:pm_modern_grain_goods_agriculture_15 | PM:pm_modern_fabric_goods_agriculture_15 | PM:pm_modern_fish_goods_agriculture_15 | PM:pm_modern_meat_goods_agriculture_15 | PM:pm_modern_fruit_goods_agriculture_15 | PM:pm_modern_tea_goods_agriculture_15 | PM:pm_modern_coffee_goods_agriculture_15 | PM:pm_modern_tobacco_goods_agriculture_15 | PM:pm_modern_wine_goods_agriculture_15 | PM:pm_modern_opium_goods_agriculture_15 | PM:pm_modern_rubber_goods_agriculture_15,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_15` — Closed-Loop Grain Agroindustry<br>PM `pm_modern_fabric_goods_agriculture_15` — Closed-Loop Fiber Agroindustry<br>PM `pm_modern_fish_goods_agriculture_15` — Closed-Loop Fish Agroindustry<br>PM `pm_modern_meat_goods_agriculture_15` — Closed-Loop Meat Agroindustry<br>PM `pm_modern_fruit_goods_agriculture_15` — Closed-Loop Fruit Agroindustry<br>PM `pm_modern_tea_goods_agriculture_15` — Closed-Loop Tea Agroindustry<br>PM `pm_modern_coffee_goods_agriculture_15` — Closed-Loop Coffee Agroindustry<br>PM `pm_modern_tobacco_goods_agriculture_15` — Closed-Loop Tobacco Agroindustry<br>PM `pm_modern_wine_goods_agriculture_15` — Closed-Loop Wine Agroindustry<br>PM `pm_modern_opium_goods_agriculture_15` — Closed-Loop Opium Agroindustry<br>PM `pm_modern_rubber_goods_agriculture_15` — Closed-Loop Natural Rubber Agroindustry
tech_agriculture_16,tech_agriculture,production,16,Climate-Independent Agriculture,"Sealed agricultural environments decouple harvests from drought, storms, latitude, and seasonal failure. Regions once marginal for farming can maintain industrial-scale yields regardless of the climate outside.",tech_agriculture_15,,PM:pm_modern_grain_goods_agriculture_16 | PM:pm_modern_fabric_goods_agriculture_16 | PM:pm_modern_fish_goods_agriculture_16 | PM:pm_modern_meat_goods_agriculture_16 | PM:pm_modern_fruit_goods_agriculture_16 | PM:pm_modern_tea_goods_agriculture_16 | PM:pm_modern_coffee_goods_agriculture_16 | PM:pm_modern_tobacco_goods_agriculture_16 | PM:pm_modern_wine_goods_agriculture_16 | PM:pm_modern_opium_goods_agriculture_16 | PM:pm_modern_rubber_goods_agriculture_16,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_16` — Climate-Sealed Grain Production<br>PM `pm_modern_fabric_goods_agriculture_16` — Climate-Sealed Fiber Production<br>PM `pm_modern_fish_goods_agriculture_16` — Climate-Sealed Fish Production<br>PM `pm_modern_meat_goods_agriculture_16` — Climate-Sealed Meat Production<br>PM `pm_modern_fruit_goods_agriculture_16` — Climate-Sealed Fruit Production<br>PM `pm_modern_tea_goods_agriculture_16` — Climate-Sealed Tea Production<br>PM `pm_modern_coffee_goods_agriculture_16` — Climate-Sealed Coffee Production<br>PM `pm_modern_tobacco_goods_agriculture_16` — Climate-Sealed Tobacco Production<br>PM `pm_modern_wine_goods_agriculture_16` — Climate-Sealed Wine Production<br>PM `pm_modern_opium_goods_agriculture_16` — Climate-Sealed Opium Production<br>PM `pm_modern_rubber_goods_agriculture_16` — Climate-Sealed Natural Rubber Production
tech_agriculture_17,tech_agriculture,production,17,Cellular Crop Engineering,"Cellular engineering redesigns crop metabolism rather than merely selecting desirable traits. Plants grow faster, waste less energy, and synthesize useful fibers, oils, stimulants, and medicines as deliberately engineered products.",tech_agriculture_16,,PM:pm_modern_grain_goods_agriculture_17 | PM:pm_modern_fabric_goods_agriculture_17 | PM:pm_modern_fish_goods_agriculture_17 | PM:pm_modern_meat_goods_agriculture_17 | PM:pm_modern_fruit_goods_agriculture_17 | PM:pm_modern_tea_goods_agriculture_17 | PM:pm_modern_coffee_goods_agriculture_17 | PM:pm_modern_tobacco_goods_agriculture_17 | PM:pm_modern_wine_goods_agriculture_17 | PM:pm_modern_opium_goods_agriculture_17 | PM:pm_modern_rubber_goods_agriculture_17,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_17` — Cellularly Engineered Grain Cultivation<br>PM `pm_modern_fabric_goods_agriculture_17` — Cellularly Engineered Fiber Cultivation<br>PM `pm_modern_fish_goods_agriculture_17` — Cellularly Engineered Fish Cultivation<br>PM `pm_modern_meat_goods_agriculture_17` — Cellularly Engineered Meat Cultivation<br>PM `pm_modern_fruit_goods_agriculture_17` — Cellularly Engineered Fruit Cultivation<br>PM `pm_modern_tea_goods_agriculture_17` — Cellularly Engineered Tea Cultivation<br>PM `pm_modern_coffee_goods_agriculture_17` — Cellularly Engineered Coffee Cultivation<br>PM `pm_modern_tobacco_goods_agriculture_17` — Cellularly Engineered Tobacco Cultivation<br>PM `pm_modern_wine_goods_agriculture_17` — Cellularly Engineered Wine Cultivation<br>PM `pm_modern_opium_goods_agriculture_17` — Cellularly Engineered Opium Cultivation<br>PM `pm_modern_rubber_goods_agriculture_17` — Cellularly Engineered Natural Rubber Cultivation
tech_agriculture_18,tech_agriculture,production,18,Self-Optimising Farm Ecologies,"Continuous biological sensing allows farms to alter lighting, nutrients, planting density, and harvesting in response to each crop's condition. Entire agricultural ecologies learn to tune themselves over successive growing cycles.",tech_agriculture_17,,PM:pm_modern_grain_goods_agriculture_18 | PM:pm_modern_fabric_goods_agriculture_18 | PM:pm_modern_fish_goods_agriculture_18 | PM:pm_modern_meat_goods_agriculture_18 | PM:pm_modern_fruit_goods_agriculture_18 | PM:pm_modern_tea_goods_agriculture_18 | PM:pm_modern_coffee_goods_agriculture_18 | PM:pm_modern_tobacco_goods_agriculture_18 | PM:pm_modern_wine_goods_agriculture_18 | PM:pm_modern_opium_goods_agriculture_18 | PM:pm_modern_rubber_goods_agriculture_18,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_18` — Self-Optimising Grain Ecologies<br>PM `pm_modern_fabric_goods_agriculture_18` — Self-Optimising Fiber Ecologies<br>PM `pm_modern_fish_goods_agriculture_18` — Self-Optimising Fish Ecologies<br>PM `pm_modern_meat_goods_agriculture_18` — Self-Optimising Meat Ecologies<br>PM `pm_modern_fruit_goods_agriculture_18` — Self-Optimising Fruit Ecologies<br>PM `pm_modern_tea_goods_agriculture_18` — Self-Optimising Tea Ecologies<br>PM `pm_modern_coffee_goods_agriculture_18` — Self-Optimising Coffee Ecologies<br>PM `pm_modern_tobacco_goods_agriculture_18` — Self-Optimising Tobacco Ecologies<br>PM `pm_modern_wine_goods_agriculture_18` — Self-Optimising Wine Ecologies<br>PM `pm_modern_opium_goods_agriculture_18` — Self-Optimising Opium Ecologies<br>PM `pm_modern_rubber_goods_agriculture_18` — Self-Optimising Natural Rubber Ecologies
tech_agriculture_19,tech_agriculture,production,19,Programmable Biosphere Agriculture,"Programmable organisms blur the line between crop and machine: growth patterns, maturation, storage chemistry, and environmental response are specified before planting. Agriculture becomes the deliberate programming of living landscapes.",tech_agriculture_18,,PM:pm_modern_grain_goods_agriculture_19 | PM:pm_modern_fabric_goods_agriculture_19 | PM:pm_modern_fish_goods_agriculture_19 | PM:pm_modern_meat_goods_agriculture_19 | PM:pm_modern_fruit_goods_agriculture_19 | PM:pm_modern_tea_goods_agriculture_19 | PM:pm_modern_coffee_goods_agriculture_19 | PM:pm_modern_tobacco_goods_agriculture_19 | PM:pm_modern_wine_goods_agriculture_19 | PM:pm_modern_opium_goods_agriculture_19 | PM:pm_modern_rubber_goods_agriculture_19,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_19` — Programmable Grain Biosystems<br>PM `pm_modern_fabric_goods_agriculture_19` — Programmable Fiber Biosystems<br>PM `pm_modern_fish_goods_agriculture_19` — Programmable Fish Biosystems<br>PM `pm_modern_meat_goods_agriculture_19` — Programmable Meat Biosystems<br>PM `pm_modern_fruit_goods_agriculture_19` — Programmable Fruit Biosystems<br>PM `pm_modern_tea_goods_agriculture_19` — Programmable Tea Biosystems<br>PM `pm_modern_coffee_goods_agriculture_19` — Programmable Coffee Biosystems<br>PM `pm_modern_tobacco_goods_agriculture_19` — Programmable Tobacco Biosystems<br>PM `pm_modern_wine_goods_agriculture_19` — Programmable Wine Biosystems<br>PM `pm_modern_opium_goods_agriculture_19` — Programmable Opium Biosystems<br>PM `pm_modern_rubber_goods_agriculture_19` — Programmable Natural Rubber Biosystems
tech_agriculture_20,tech_agriculture,production,20,Planetary Food Fabrication,"At planetary scale, food and biological feedstocks are fabricated through a mixture of engineered crops, cultured tissue, synthetic photosynthesis, and automated biosystems. Famine becomes less a limit of nature than a failure to deploy sufficient productive infrastructure.",tech_agriculture_19,,PM:pm_modern_grain_goods_agriculture_20 | PM:pm_modern_fabric_goods_agriculture_20 | PM:pm_modern_fish_goods_agriculture_20 | PM:pm_modern_meat_goods_agriculture_20 | PM:pm_modern_fruit_goods_agriculture_20 | PM:pm_modern_tea_goods_agriculture_20 | PM:pm_modern_coffee_goods_agriculture_20 | PM:pm_modern_tobacco_goods_agriculture_20 | PM:pm_modern_wine_goods_agriculture_20 | PM:pm_modern_opium_goods_agriculture_20 | PM:pm_modern_rubber_goods_agriculture_20,New Era 11–20 technology; preserve current chain texture/category/AI-weight conventions. Generator re-reads source and preserves any upstream non-self prerequisites.,PM `pm_modern_grain_goods_agriculture_20` — Synthetic Grain Fabrication<br>PM `pm_modern_fabric_goods_agriculture_20` — Synthetic Fiber Fabrication<br>PM `pm_modern_fish_goods_agriculture_20` — Synthetic Fish Fabrication<br>PM `pm_modern_meat_goods_agriculture_20` — Synthetic Meat Fabrication<br>PM `pm_modern_fruit_goods_agriculture_20` — Synthetic Fruit Fabrication<br>PM `pm_modern_tea_goods_agriculture_20` — Synthetic Tea Fabrication<br>PM `pm_modern_coffee_goods_agriculture_20` — Synthetic Coffee Fabrication<br>PM `pm_modern_tobacco_goods_agriculture_20` — Synthetic Tobacco Fabrication<br>PM `pm_modern_wine_goods_agriculture_20` — Synthetic Wine Fabrication<br>PM `pm_modern_opium_goods_agriculture_20` — Synthetic Opium Fabrication<br>PM `pm_modern_rubber_goods_agriculture_20` — Synthetic Natural Rubber Fabrication
