pm_id,localized_name,tech_id,era,pmg,owner_chain,pm_kind,stat_rule,notes
pm_modern_grain_goods_agriculture_11,Controlled-Environment Grain Production,tech_agriculture_11,11,pmg_grain_agriculture,tech_agriculture,Goods,AG-GRAIN,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_grain_goods_agriculture_8, pm_grain_goods_agriculture_9, pm_grain_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_grain_add +100/generation. Employment/domain side effects follow stat_rule AG-GRAIN; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_fabric_goods_agriculture_11,Controlled-Environment Fiber Production,tech_agriculture_11,11,pmg_fabric_agriculture,tech_agriculture,Goods,AG-FABRIC,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_fabric_goods_agriculture_8, pm_fabric_goods_agriculture_9, pm_fabric_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_fabric_add +100/generation. Employment/domain side effects follow stat_rule AG-FABRIC; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_fish_goods_agriculture_11,Controlled-Environment Fish Production,tech_agriculture_11,11,pmg_fish_agriculture,tech_agriculture,Goods,AG-FISH,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_fish_goods_agriculture_8, pm_fish_goods_agriculture_9, pm_fish_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +1/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_input_steamers_add +0.5/generation, goods_output_fish_add +100/generation. Employment/domain side effects follow stat_rule AG-FISH; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_meat_goods_agriculture_11,Controlled-Environment Meat Production,tech_agriculture_11,11,pmg_meat_agriculture,tech_agriculture,Goods,AG-MEAT,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_meat_goods_agriculture_8, pm_meat_goods_agriculture_9, pm_meat_goods_agriculture_10), then continue that same step for every new PM. goods_input_electricity_add +1/generation, goods_input_grain_add +10/generation, goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_software_add +0.5/generation, goods_output_fabric_add +10/generation, goods_output_meat_add +100/generation. Employment/domain side effects follow stat_rule AG-MEAT; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_fruit_goods_agriculture_11,Controlled-Environment Fruit Production,tech_agriculture_11,11,pmg_fruit_agriculture,tech_agriculture,Goods,AG-FRUIT,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_fruit_goods_agriculture_8, pm_fruit_goods_agriculture_9, pm_fruit_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_fruit_add +100/generation. Employment/domain side effects follow stat_rule AG-FRUIT; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_tea_goods_agriculture_11,Controlled-Environment Tea Production,tech_agriculture_11,11,pmg_tea_agriculture,tech_agriculture,Goods,AG-TEA,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_tea_goods_agriculture_8, pm_tea_goods_agriculture_9, pm_tea_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_tea_add +50/generation. Employment/domain side effects follow stat_rule AG-TEA; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_coffee_goods_agriculture_11,Controlled-Environment Coffee Production,tech_agriculture_11,11,pmg_coffee_agriculture,tech_agriculture,Goods,AG-COFFEE,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_coffee_goods_agriculture_8, pm_coffee_goods_agriculture_9, pm_coffee_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_coffee_add +50/generation. Employment/domain side effects follow stat_rule AG-COFFEE; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_tobacco_goods_agriculture_11,Controlled-Environment Tobacco Production,tech_agriculture_11,11,pmg_tobacco_agriculture,tech_agriculture,Goods,AG-TOBACCO,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_tobacco_goods_agriculture_8, pm_tobacco_goods_agriculture_9, pm_tobacco_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_tobacco_add +50/generation. Employment/domain side effects follow stat_rule AG-TOBACCO; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_wine_goods_agriculture_11,Controlled-Environment Wine Production,tech_agriculture_11,11,pmg_wine_agriculture,tech_agriculture,Goods,AG-WINE,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_wine_goods_agriculture_8, pm_wine_goods_agriculture_9, pm_wine_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +2/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_wine_add +50/generation. Employment/domain side effects follow stat_rule AG-WINE; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_opium_goods_agriculture_11,Controlled-Environment Opium Production,tech_agriculture_11,11,pmg_opium_agriculture,tech_agriculture,Goods,AG-OPIUM,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_opium_goods_agriculture_8, pm_opium_goods_agriculture_9, pm_opium_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +2/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_opium_add +50/generation. Employment/domain side effects follow stat_rule AG-OPIUM; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_rubber_goods_agriculture_11,Controlled-Environment Natural Rubber Production,tech_agriculture_11,11,pmg_rubber_agriculture,tech_agriculture,Goods,AG-RUBBER,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_rubber_goods_agriculture_8, pm_rubber_goods_agriculture_9, pm_rubber_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_rubber_add +100/generation. Employment/domain side effects follow stat_rule AG-RUBBER; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_grain_goods_agriculture_12,Synthetic-Soil Grain Cultivation,tech_agriculture_12,12,pmg_grain_agriculture,tech_agriculture,Goods,AG-GRAIN,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_grain_goods_agriculture_8, pm_grain_goods_agriculture_9, pm_grain_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_grain_add +100/generation. Employment/domain side effects follow stat_rule AG-GRAIN; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_fabric_goods_agriculture_12,Synthetic-Soil Fiber Cultivation,tech_agriculture_12,12,pmg_fabric_agriculture,tech_agriculture,Goods,AG-FABRIC,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_fabric_goods_agriculture_8, pm_fabric_goods_agriculture_9, pm_fabric_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_fabric_add +100/generation. Employment/domain side effects follow stat_rule AG-FABRIC; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_fish_goods_agriculture_12,Synthetic-Soil Fish Cultivation,tech_agriculture_12,12,pmg_fish_agriculture,tech_agriculture,Goods,AG-FISH,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_fish_goods_agriculture_8, pm_fish_goods_agriculture_9, pm_fish_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +1/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_input_steamers_add +0.5/generation, goods_output_fish_add +100/generation. Employment/domain side effects follow stat_rule AG-FISH; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_meat_goods_agriculture_12,Synthetic-Soil Meat Cultivation,tech_agriculture_12,12,pmg_meat_agriculture,tech_agriculture,Goods,AG-MEAT,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_meat_goods_agriculture_8, pm_meat_goods_agriculture_9, pm_meat_goods_agriculture_10), then continue that same step for every new PM. goods_input_electricity_add +1/generation, goods_input_grain_add +10/generation, goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_software_add +0.5/generation, goods_output_fabric_add +10/generation, goods_output_meat_add +100/generation. Employment/domain side effects follow stat_rule AG-MEAT; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_fruit_goods_agriculture_12,Synthetic-Soil Fruit Cultivation,tech_agriculture_12,12,pmg_fruit_agriculture,tech_agriculture,Goods,AG-FRUIT,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_fruit_goods_agriculture_8, pm_fruit_goods_agriculture_9, pm_fruit_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_fruit_add +100/generation. Employment/domain side effects follow stat_rule AG-FRUIT; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_tea_goods_agriculture_12,Synthetic-Soil Tea Cultivation,tech_agriculture_12,12,pmg_tea_agriculture,tech_agriculture,Goods,AG-TEA,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_tea_goods_agriculture_8, pm_tea_goods_agriculture_9, pm_tea_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_tea_add +50/generation. Employment/domain side effects follow stat_rule AG-TEA; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_coffee_goods_agriculture_12,Synthetic-Soil Coffee Cultivation,tech_agriculture_12,12,pmg_coffee_agriculture,tech_agriculture,Goods,AG-COFFEE,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_coffee_goods_agriculture_8, pm_coffee_goods_agriculture_9, pm_coffee_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_coffee_add +50/generation. Employment/domain side effects follow stat_rule AG-COFFEE; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_tobacco_goods_agriculture_12,Synthetic-Soil Tobacco Cultivation,tech_agriculture_12,12,pmg_tobacco_agriculture,tech_agriculture,Goods,AG-TOBACCO,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_tobacco_goods_agriculture_8, pm_tobacco_goods_agriculture_9, pm_tobacco_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_tobacco_add +50/generation. Employment/domain side effects follow stat_rule AG-TOBACCO; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_wine_goods_agriculture_12,Synthetic-Soil Wine Cultivation,tech_agriculture_12,12,pmg_wine_agriculture,tech_agriculture,Goods,AG-WINE,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_wine_goods_agriculture_8, pm_wine_goods_agriculture_9, pm_wine_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +2/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_wine_add +50/generation. Employment/domain side effects follow stat_rule AG-WINE; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_opium_goods_agriculture_12,Synthetic-Soil Opium Cultivation,tech_agriculture_12,12,pmg_opium_agriculture,tech_agriculture,Goods,AG-OPIUM,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_opium_goods_agriculture_8, pm_opium_goods_agriculture_9, pm_opium_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +2/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_opium_add +50/generation. Employment/domain side effects follow stat_rule AG-OPIUM; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_rubber_goods_agriculture_12,Synthetic-Soil Natural Rubber Cultivation,tech_agriculture_12,12,pmg_rubber_agriculture,tech_agriculture,Goods,AG-RUBBER,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_rubber_goods_agriculture_8, pm_rubber_goods_agriculture_9, pm_rubber_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_rubber_add +100/generation. Employment/domain side effects follow stat_rule AG-RUBBER; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_grain_goods_agriculture_13,Autonomous Grain Production,tech_agriculture_13,13,pmg_grain_agriculture,tech_agriculture,Goods,AG-GRAIN,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_grain_goods_agriculture_8, pm_grain_goods_agriculture_9, pm_grain_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_grain_add +100/generation. Employment/domain side effects follow stat_rule AG-GRAIN; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_fabric_goods_agriculture_13,Autonomous Fiber Production,tech_agriculture_13,13,pmg_fabric_agriculture,tech_agriculture,Goods,AG-FABRIC,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_fabric_goods_agriculture_8, pm_fabric_goods_agriculture_9, pm_fabric_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_fabric_add +100/generation. Employment/domain side effects follow stat_rule AG-FABRIC; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_fish_goods_agriculture_13,Autonomous Fish Production,tech_agriculture_13,13,pmg_fish_agriculture,tech_agriculture,Goods,AG-FISH,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_fish_goods_agriculture_8, pm_fish_goods_agriculture_9, pm_fish_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +1/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_input_steamers_add +0.5/generation, goods_output_fish_add +100/generation. Employment/domain side effects follow stat_rule AG-FISH; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_meat_goods_agriculture_13,Autonomous Meat Production,tech_agriculture_13,13,pmg_meat_agriculture,tech_agriculture,Goods,AG-MEAT,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_meat_goods_agriculture_8, pm_meat_goods_agriculture_9, pm_meat_goods_agriculture_10), then continue that same step for every new PM. goods_input_electricity_add +1/generation, goods_input_grain_add +10/generation, goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_software_add +0.5/generation, goods_output_fabric_add +10/generation, goods_output_meat_add +100/generation. Employment/domain side effects follow stat_rule AG-MEAT; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_fruit_goods_agriculture_13,Autonomous Fruit Production,tech_agriculture_13,13,pmg_fruit_agriculture,tech_agriculture,Goods,AG-FRUIT,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_fruit_goods_agriculture_8, pm_fruit_goods_agriculture_9, pm_fruit_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_fruit_add +100/generation. Employment/domain side effects follow stat_rule AG-FRUIT; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_tea_goods_agriculture_13,Autonomous Tea Production,tech_agriculture_13,13,pmg_tea_agriculture,tech_agriculture,Goods,AG-TEA,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_tea_goods_agriculture_8, pm_tea_goods_agriculture_9, pm_tea_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_tea_add +50/generation. Employment/domain side effects follow stat_rule AG-TEA; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
pm_modern_coffee_goods_agriculture_13,Autonomous Coffee Production,tech_agriculture_13,13,pmg_coffee_agriculture,tech_agriculture,Goods,AG-COFFEE,"V3 linear rule: derive the absolute direct-goods step from the latest three productive live PMs (pm_coffee_goods_agriculture_8, pm_coffee_goods_agriculture_9, pm_coffee_goods_agriculture_10), then continue that same step for every new PM. goods_input_industrial_chemicals_add +1/generation, goods_input_industrial_robots_add +0.5/generation, goods_input_oil_add +1/generation, goods_input_software_add +0.5/generation, goods_output_coffee_add +50/generation. Employment/domain side effects follow stat_rule AG-COFFEE; any productivity bonus uses goods_output_<good>_mult for the PMG's actual output goods."
